#	Symbol	ID	Chromosome	Start	Stop	Map	OMIM	Description	Aliases
1	CAMTA1	23261	1	6785323	7769705	1p36.31-p36.23	611501	calmodulin binding transcription activator 1	RP3-467L1.1, CANPMR
2	BSND	7809	1	54998943	55008791	1p32.1	606412	barttin CLCNK-type chloride channel accessory beta subunit	GS1-118I5.1, BART, DFNB73
3	PCSK9	255738	1	55039475	55064852	1p32.3	607786	proprotein convertase subtilisin/kexin type 9	PSEC0052, FH3, HCHOLA3, LDLCQ1, NARC-1, NARC1, PC9
4	PPAP2B	8613	1	56579583	56494746	1p32.2	607125	phosphatidic acid phosphatase type 2B	Dri42, LPP3, PAP2B, VCIP
5	CELSR2	1952	1	109250018	109275755	1p21	604265	cadherin, EGF LAG seven-pass G-type receptor 2	CDHF10, EGFL2, Flamingo1, MEGF3
6	PSRC1	84722	1	109283167	109279553	1p13.3	613126	proline/serine-rich coiled-coil 1	RP11-297O4.2, DDA3, FP3214
7	IL6R	3570	1	154405192	154469449	1q21	147880	interleukin 6 receptor	CD126, IL-6R-1, IL-6RA, IL6Q, IL6RA, IL6RQ, gp80
8	MIA3	375056	1	222618101	222668008	1q41	613455	melanoma inhibitory activity family, member 3	RP11-378J18.4, ARNT, D320, TANGO, TANGO1, UNQ6077
9	CDC42EP3	10602	2	37672534	37641881	2p21	606133	CDC42 effector protein (Rho GTPase binding) 3	BORG2, CEP3, UB1
10	RMDN2	151393	2	37925318	38067141	2p22.2	611872	regulator of microtubule dynamics 2	BLOCK18, FAM82A, FAM82A1, PRO34163, PYST9371, RMD-2, RMD2, RMD4
11	GALNT13	114805	2	153732808	154453976	2q24.1	608369	polypeptide N-acetylgalactosaminyltransferase 13	GalNAc-T13, H_NH0187G20.1, WUGSC:H_NH0187G20.1
12	KCNJ3	3760	2	154698580	154858351	2q24.1	601534	potassium inwardly-rectifying channel, subfamily J, member 3	GIRK1, KGA, KIR3.1
13	SCN2A	6326	2	165130148	165392309	2q24.3	182390	sodium channel, voltage-gated, type II, alpha subunit	BFIC3, BFIS3, BFNIS, EIEE11, HBA, HBSCI, HBSCII, NAC2, Na(v)1.2, Nav1.2, SCN2A1, SCN2A2
14	IMPDH1P7	391467	2	187003477	187001138	2q32.1		IMP (inosine monophosphate) dehydrogenase 1 pseudogene 7	
15	CALCRL	10203	2	187448293	187341962	2q32.1	114190	calcitonin receptor-like	CGRPR, CRLR
16	TFPI	7035	2	187554491	187464229	2q32	152310	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	EPI, LACI, TFI, TFPI1
17	WDR12	55759	2	202912225	202880599	2q33.2		WD repeat domain 12	YTM1
18	FN1	2335	2	215436166	215360453	2q34	135600	fibronectin 1	CIG, ED-B, FINC, FN, FNZ, GFND, GFND2, LETS, MSF
19	RPL23P4	100270961	2	219697812	219698213	2q35		ribosomal protein L23 pseudogene 4	RPL23_2_327
20	EPHA4	2043	2	221572289	221418026	2q36.1	602188	EPH receptor A4	HEK8, SEK, TYRO1
21	RPL31P17	653773	2	222726429	222726874	2q36.1		ribosomal protein L31 pseudogene 17	RPL31_4_330
22	ACSL3	2181	2	222861013	222943400	2q34-q35	602371	acyl-CoA synthetase long-chain family member 3	ACS3, FACL3, PRO2194
23	INPP5D	3635	2	233060325	233207902	2q37.1	601582	inositol polyphosphate-5-phosphatase, 145kDa	SHIP, SHIP-1, SHIP1, SIP-145, hp51CN, p150Ship
24	ATG16L1	55054	2	233251570	233295673	2q37.1	610767	autophagy related 16-like 1 (S. cerevisiae)	hCG_1817841, APG16L, ATG16A, ATG16L, IBD10, WDR30
25	ARL4C	10123	2	234497052	234493040	2q37.1	604787	ADP-ribosylation factor-like 4C	ARL7, LAK
26	SH3BP4	23677	2	234951983	235055713	2q37.1-q37.2	605611	SH3-domain binding protein 4	BOG25, TTP
27	BTD	686	3	15601351	15647639	3p25	609019	biotinidase	
28	SGOL1	151648	3	20186231	20160592	3p24.3	609168	shugoshin-like 1 (S. pombe)	NY-BR-85, SGO, Sgo1
29	VENTXP7	391518	3	21405725	21406707	3p24.3		VENT homeobox pseudogene 7	HPX42, VENTX1
30	ZNF385D	79750	3	22372640	21418418	3p24.3		zinc finger protein 385D	hCG_2036540, ZNF659
31	HMGB1P5	10354	3	22381669	22382865	3p24		high mobility group box 1 pseudogene 5	HMG-1, HMG1L5, HMGB1L15, HMGB1L5, HMGB1P2
32	LRIG1	26018	3	66500420	66378796	3p14	608868	leucine-rich repeats and immunoglobulin-like domains 1	LIG-1, LIG1
33	RPL21P41	100271159	3	66637148	66637541	3p14.1		ribosomal protein L21 pseudogene 41	RPL21_11_380
34	EPHA6	285220	3	96814580	97749438	3q11.2	600066	EPH receptor A6	UNQ6114, EHK-2, EHK2, EK12, EPA6, HEK12, PRO57066
35	MRAS	22808	3	138347647	138405534	3q22.3	608435	muscle RAS oncogene homolog	M-RAs, R-RAS3, RRAS3
36	RBM47	54502	4	40630620	40423254	4p14		RNA binding motif protein 47	NET18
37	CXXC4	80319	4	104494900	104468305	4q22-q24	611645	CXXC finger protein 4	IDAX
38	RPL6P14	391679	4	104886954	104886109	4q24		ribosomal protein L6 pseudogene 14	RPL6_2_505
39	SLC7A11	23657	4	138242417	138164093	4q28-q32	607933	solute carrier family 7 (anionic amino acid transporter light chain, xc- system), member 11	CCBR1, xCT
40	CCRN4L	25819	4	139015758	139045938	4q31.1	608468	CCR4 carbon catabolite repression 4-like (S. cerevisiae)	CCR4L, Ccr4c, NOC
41	TTC29	83894	4	146945881	146707026	4q31.22		tetratricopeptide repeat domain 29	NYD-SP14, TBPP2A
42	RPL31P26	100130537	4	147426362	147425929	4q31.22		ribosomal protein L31 pseudogene 26	RPL31_7_527
43	SORBS2	8470	4	185956715	185585443	4q35.1		sorbin and SH3 domain containing 2	ARGBP2, PRO0618
44	FTH1P10	2502	5	17354630	17353712	5p15.1		ferritin, heavy polypeptide 1 pseudogene 10	FTHL10
45	RPL36AP21	100271332	5	18049543	18049914	5p15.1		ribosomal protein L36a pseudogene 21	RPL36A_8_545
46	NNT	23530	5	43602688	43705565	5p12	607878	nicotinamide nucleotide transhydrogenase	hCG_17428, GCCD4
47	BHMT	635	5	79111780	79132289	5q14.1	602888	betaine--homocysteine S-methyltransferase	BHMT1, HEL-S-61p
48	FBN2	2201	5	128538041	128257908	5q23-q31	612570	fibrillin 2	CCA, DA9
49	IL12B	3593	5	159330472	159314782	5q31.1-q33.1	161561	interleukin 12B	CLMF, CLMF2, IL-12B, NKSF, NKSF2
50	PHACTR1	221692	6	12716655	13290243	6p24.1	608723	phosphatase and actin regulator 1	RP1-257A7.1, RPEL, RPEL1, dJ257A7.2
51	ATXN1	6310	6	16761489	16299111	6p23	601556	ataxin 1	ATX1, D6S504E, SCA1
52	STMND1	401236	6	17102257	17131371	6p22.3		stathmin domain containing 1	
53	HCG27	253018	6	31197759	31203967	6p21.33		HLA complex group 27 (non-protein coding)	bCX101P6.9, bPG299F13.9, bQB115I13.2
54	HLA-C	3107	6	31272135	31268748	6p21.3	142840	major histocompatibility complex, class I, C	XXbac-BCX101P6.2, D6S204, HLA-JY3, HLC-C, PSORS1
55	HLA-DQB1	3119	6	32666688	32659463	6p21.3	604305	major histocompatibility complex, class II, DQ beta 1	DADB-249P12.2, CELIAC1, HLA-DQB, IDDM1
56	HLA-DQA2	3118	6	32741385	32746886	6p21.3	613503	major histocompatibility complex, class II, DQ alpha 2	DAAP-381D23.2, DX-ALPHA, HLA-DXA
57	ANKS1A	23294	6	34889260	35091412	6p21.31	608994	ankyrin repeat and sterile alpha motif domain containing 1A	ANKS1
58	PPARD	5467	6	35342557	35428190	6p21.2	600409	peroxisome proliferator-activated receptor delta	FAAR, NR1C2, NUC1, NUCI, NUCII, PPARB
59	VEGFA	7422	6	43770208	43786486	6p12	192240	vascular endothelial growth factor A	RP1-261G23.1, MVCD1, VEGF, VPF
60	C6orf223	221416	6	44000599	44005957	6p21.1		chromosome 6 open reading frame 223	
61	CENPQ	55166	6	49463340	49493106	6p12.3	611506	centromere protein Q	C6orf139, CENP-Q
62	RAB23	51715	6	57222313	57186991	6p11	606144	RAB23, member RAS oncogene family	RP3-496N17.3, HSPC137
63	PRIM2	5558	6	57314804	57646849	6p12-p11.1	176636	primase, DNA, polypeptide 2 (58kDa)	RP3-401D24.1, PRIM2A, p58
64	FAM46A	55603	6	81752710	81745729	6q14	611357	family with sequence similarity 46, member A	RP1-300G12.3, C6orf37, XTP11
65	IBTK	25998	6	82247746	82170237	6q14.1	606457	inhibitor of Bruton agammaglobulinemia tyrosine kinase	RP1-93K22.1, BTBD26, BTKI
66	TPBG	7162	6	82363205	82367416	6q14-q15	190920	trophoblast glycoprotein	5T4, 5T4AG, M6P1, WAIF1
67	UBE3D	90025	6	83065831	82892466	6q14.1	612495	ubiquitin protein ligase E3D	RP4-751H9.1, C6orf157, H10BH, UBE2CBP, YJR141W
68	MRAP2	112609	6	84023026	84090886	6q14.2	615410	melanocortin 2 receptor accessory protein 2	RP11-51G5.2, BMIQ18, C6orf117, bA51G5.2
69	CEP162	22832	6	84227666	84124240	6q14.3	610201	centrosomal protein 162kDa	RP1-76K10.1, C6orf84, KIAA1009, QN1
70	FUT9	10690	6	96015968	96215611	6q16	606865	fucosyltransferase 9 (alpha (1,3) fucosyltransferase)	Fuc-TIX
71	UFL1	23376	6	96521825	96555275	6q16.1	613372	UFM1-specific ligase 1	RP3-393D12.1, KIAA0776, Maxer, NLBP, RCAD
72	FHL5	9457	6	96562547	96619929	6q16.1-q16.3	605126	four and a half LIM domains 5	RP3-393D12.2, ACT, dJ393D12.2
73	RPS7P8	442237	6	96649106	96648454	6q16.1		ribosomal protein S7 pseudogene 8	RPS7_4_725
74	TAAR7P	503611	6	132559023	132559232	6q23.2		trace amine associated receptor 7, pseudogene	
75	TAAR6	319100	6	132570321	132571358	6q23.2	608923	trace amine associated receptor 6	RP11-295F4.3, TA4, TAR4, TAR6, TRAR4, taR-4, taR-6
76	TCF21	6943	6	133889120	133895536	6q23.2	603306	transcription factor 21	POD1, bHLHa23
77	FNDC1	84624	6	159169396	159272107	6q25	609991	fibronectin type III domain containing 1	RP11-243O10.1, AGS8, FNDC2, MEL4B3, bA243O10.1, dJ322A24.1
78	LPA	4018	6	160666374	160531482	6q26	152200	lipoprotein, Lp(a)	AK38, APOA, LP
79	KIAA0087	9808	7	26538824	26533120	7p15.2		KIAA0087	hCG_38390
80	C7orf71	285941	7	26637870	26647304	7p15.2		chromosome 7 open reading frame 71	
81	RPL7AP40	442712	7	97201469	97200646	7q21.3		ribosomal protein L7a pseudogene 40	RPL7A_18_822
82	TAC1	6863	7	97731958	97740471	7q21-q22	162320	tachykinin, precursor 1	Hs.2563, NK2, NKNA, NPK, TAC2
83	BCAP29	55973	7	107579976	107623316	7q22.3		B-cell receptor-associated protein 29	BAP29
84	ASZ1	136991	7	117427522	117363221	7q31.2	605797	ankyrin repeat, SAM and basic leucine zipper domain containing 1	ALP1, ANKL1, C7orf7, CT1.19, GASZ, Orf3
85	ZC3HC1	51530	7	130051450	130018285	7q32.2		zinc finger, C3HC-type containing 1	HSPC216, NIPA
86	DLC1	10395	8	13515657	13083360	8p22	604258	DLC1 Rho GTPase activating protein	ARHGAP7, HP, STARD12, p122-RhoGAP
87	SGCZ	137868	8	15238282	14089863	8p22	608113	sarcoglycan, zeta	ZSG1
88	RPL35P6	100271007	8	18774965	18774546	8p22		ribosomal protein L35 pseudogene 6	RPL35_5_881
89	SH2D4A	63898	8	19313569	19396217	8p21.2	614968	SH2 domain containing 4A	PPP1R38, SH2A
90	LZTS1	11178	8	20303980	20246164	8p22	606551	leucine zipper, putative tumor suppressor 1	F37, FEZ1
91	GFRA2	2675	8	21814897	21692017	8p21.3	601956	GDNF family receptor alpha 2	GDNFRB, NRTNR-ALPHA, NTNRA, RETL2, TRNR2
92	GSR	2936	8	30727968	30678060	8p21.1	138300	glutathione reductase	HEL-75
93	COL14A1	7373	8	120125107	120373471	8q23	120324	collagen, type XIV, alpha 1	UND
94	MRPL13	28998	8	120445406	120395843	8q22.1-q22.3	610200	mitochondrial ribosomal protein L13	L13, L13A, L13mt, RPL13, RPML13
95	LURAP1L	286343	9	12774989	12823059	9p23		leucine rich adaptor protein 1-like	HYST0841, C9orf150, bA3L8.2
96	TDPX2	7002	9	12973505	12972559	9p22		thioredoxin-dependent peroxide reductase 2	PAGB
97	CDKN2B-AS1	100048912	9	21994790	22121096	9p21.3	613149	CDKN2B antisense RNA 1	RP11-145E5.4, ANRIL, CDKN2B-AS, CDKN2BAS, NCRNA00089, PCAT12, p15AS
98	UBA52P6	100130239	9	22011949	22012537	9p21.3		ubiquitin A-52 residue ribosomal protein fusion product 1 pseudogene 6	RPL40_3_969
99	DMRTA1	63951	9	22446840	22452472	9p21.3	614803	DMRT-like family A1	DMO, DMRT4
100	OSTF1	26578	9	75088481	75148136	9q13-q21.2	610180	osteoclast stimulating factor 1	OSF, SH3P2, bA235O14.1
101	PCSK5	5125	9	75890643	76362338	9q21.3	600488	proprotein convertase subtilisin/kexin type 5	RP11-422N19.4, PC5, PC6, PC6A, SPC6
102	SPTLC1	10558	9	92115473	92031133	9q22.2	605712	serine palmitoyltransferase, long chain base subunit 1	RP11-118F2.1, HSAN1, HSN1, LBC1, LCB1, SPT1, SPTI
103	HEMGN	55363	9	97944914	97926790	9q22.33	610715	hemogen	PRO1037, CT155, EDAG, EDAG-1, NDR
104	ANP32B	10541	9	97983206	98015942	9q22.32		acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	RP11-535C21.1, APRIL, PHAPI2, SSP29
