Date Added to Catalog	PUBMEDID	First Author	Date	Journal	Link	Study	Disease/Trait	Initial Sample Size	Replication Sample Size	Region	Chr_id	Chr_pos	Reported Gene(s)	Mapped_gene	Upstream_gene_id	Downstream_gene_id	Snp_gene_ids	Upstream_gene_distance	Downstream_gene_distance	Strongest SNP-Risk Allele	SNPs	Merged	Snp_id_current	Context	Intergenic	Risk Allele Frequency	p-Value	Pvalue_mlog	p-Value (text)	OR or beta	95% CI (text)	Platform [SNPs passing QC]	CNV
2013-05-01	23364394	Lee JY	2013-01-31	J Hum Genet	http://www.ncbi.nlm.nih.gov/pubmed/23364394	A genome-wide association study of a coronary artery disease risk variant.	Coronary heart disease	"2,123 Korean ancestry cases; 3,591 Korean ancestry controls"	"3,052 Japanese ancestry cases; 4,976 Japanese ancestry controls"	12q24.11	12	111241410	CUX2	CUX2			23316			rs886126-T	rs886126	0	886126	intron	0	0.66	1E-6	6		1.14	[1.08-1.20]	Affymetrix [521,786]	N
2013-05-01	23364394	Lee JY	2013-01-31	J Hum Genet	http://www.ncbi.nlm.nih.gov/pubmed/23364394	A genome-wide association study of a coronary artery disease risk variant.	Coronary heart disease	"2,123 Korean ancestry cases; 3,591 Korean ancestry controls"	"3,052 Japanese ancestry cases; 4,976 Japanese ancestry controls"	12q24.11	12	110912851	MYL2	MYL2			4633			rs3782889-C	rs3782889	0	3782889	intron	0	0.21	4E-14	13.39794001		1.26	[1.19-1.34]	Affymetrix [521,786]	N
2013-05-01	23364394	Lee JY	2013-01-31	J Hum Genet	http://www.ncbi.nlm.nih.gov/pubmed/23364394	A genome-wide association study of a coronary artery disease risk variant.	Coronary heart disease	"2,123 Korean ancestry cases; 3,591 Korean ancestry controls"	"3,052 Japanese ancestry cases; 4,976 Japanese ancestry controls"	13q12.3	13	28409926	FLT1	FLT1			2321			rs9508025-C	rs9508025	0	9508025	intron	0	0.50	6E-7	6.22184875		1.14	[1.08-1.20]	Affymetrix [521,786]	N
2013-05-01	23364394	Lee JY	2013-01-31	J Hum Genet	http://www.ncbi.nlm.nih.gov/pubmed/23364394	A genome-wide association study of a coronary artery disease risk variant.	Coronary heart disease	"2,123 Korean ancestry cases; 3,591 Korean ancestry controls"	"3,052 Japanese ancestry cases; 4,976 Japanese ancestry controls"	9p21.3	9	22103814	CDKN2A/2B	CDKN2B-AS1			100048912			rs1333042-?	rs1333042	0	1333042	intron	0	NR	1E-9	9		1.30	[1.19-1.41]	Affymetrix [521,786]	N
2013-05-01	23364394	Lee JY	2013-01-31	J Hum Genet	http://www.ncbi.nlm.nih.gov/pubmed/23364394	A genome-wide association study of a coronary artery disease risk variant.	Coronary heart disease	"2,123 Korean ancestry cases; 3,591 Korean ancestry controls"	"3,052 Japanese ancestry cases; 4,976 Japanese ancestry controls"	12q24.12	12	111730205	ACAD10, ALDH2, C12orf51, RPL6-PTPN11	ACAD10			80724			rs11066015-A	rs11066015	0	11066015	intron	0	NR	5E-11	10.30103		1.41	[1.27-1.56]	Affymetrix [521,786]	N
2012-09-20	22751097	Lu X	2012-07-01	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/22751097	Genome-wide association study in Han Chinese identifies four new susceptibility loci for coronary artery disease.	Coronary heart disease	1,515 Han Chinese cases, 5,019 Han Chinese controls	15,460 Han Chinese cases, 11,472 Han Chinese controls	2p24.1	2	19745816	TTC32, WDR35	OSR1 - CISD1P1	130497	130500		387.21	80.40	rs2123536-T	rs2123536	0	2123536		1	0.39	7E-11	10.15490196		1.12	[1.08-1.16]	Affymetrix [~2.2 million] (imputed)	N
2012-09-20	22751097	Lu X	2012-07-01	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/22751097	Genome-wide association study in Han Chinese identifies four new susceptibility loci for coronary artery disease.	Coronary heart disease	1,515 Han Chinese cases, 5,019 Han Chinese controls	15,460 Han Chinese cases, 11,472 Han Chinese controls	4q32.1	4	155590307	GUCY1A3	MTND1P22 - GUCY1A3	100287591	2982		126.48	76.40	rs1842896-T	rs1842896	0	1842896		1	0.76	1E-11	11		1.14	[1.10-1.19]	Affymetrix [~2.2 million] (imputed)	N
2012-09-20	22751097	Lu X	2012-07-01	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/22751097	Genome-wide association study in Han Chinese identifies four new susceptibility loci for coronary artery disease.	Coronary heart disease	1,515 Han Chinese cases, 5,019 Han Chinese controls	15,460 Han Chinese cases, 11,472 Han Chinese controls	6p21.32	6	32373576	C6orf10, BTNL2	C6orf10			10665			rs9268402-G	rs9268402	0	9268402	nearGene-5	0	0.59	3E-15	14.52287875		1.16	[1.12-1.20]	Affymetrix [~2.2 million] (imputed)	N
2012-09-20	22751097	Lu X	2012-07-01	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/22751097	Genome-wide association study in Han Chinese identifies four new susceptibility loci for coronary artery disease.	Coronary heart disease	1,515 Han Chinese cases, 5,019 Han Chinese controls	15,460 Han Chinese cases, 11,472 Han Chinese controls	12q21.33	12	89687411	ATP2B1	ATP2B1			490			rs7136259-T	rs7136259	0	7136259	intron	0	0.39	6E-10	9.22184875		1.11	[1.08-1.15]	Affymetrix [~2.2 million] (imputed)	N
2012-09-20	22751097	Lu X	2012-07-01	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/22751097	Genome-wide association study in Han Chinese identifies four new susceptibility loci for coronary artery disease.	Coronary heart disease	1,515 Han Chinese cases, 5,019 Han Chinese controls	15,460 Han Chinese cases, 11,472 Han Chinese controls	9p21.3	9	22096056	CDKN2A/B	CDKN2B-AS1			100048912			rs10757274-G	rs10757274	0	10757274	intron	0	0.46	8E-45	44.09691001		1.37	[1.31-1.43]	Affymetrix [~2.2 million] (imputed)	N
