Date Added to Catalog	PUBMEDID	First Author	Date	Journal	Link	Study	Disease/Trait	Initial Sample Size	Replication Sample Size	Region	Chr_id	Chr_pos	Reported Gene(s)	Mapped_gene	Upstream_gene_id	Downstream_gene_id	Snp_gene_ids	Upstream_gene_distance	Downstream_gene_distance	Strongest SNP-Risk Allele	SNPs	Merged	Snp_id_current	Context	Intergenic	Risk Allele Frequency	p-Value	Pvalue_mlog	p-Value (text)	OR or beta	95% CI (text)	Platform [SNPs passing QC]	CNV
2014-03-13	23918589	Negi S	2013-12-01	Arthritis Rheum	http://www.ncbi.nlm.nih.gov/pubmed/23918589	A genome-wide association study reveals ARL15, a novel non-HLA susceptibility gene for rheumatoid arthritis in North Indians.	Rheumatoid arthritis	706 North Indian ancestry cases, 761 North Indian ancestry controls	927 North Indian ancestry cases, 1,148 North Indian ancestry controls	5q11.2	5	54015672	ARL15	ARL15			54622			rs255758-C	rs255758	0	255758	intron	0	0.18	7E-6	5.15490196		1.42	[1.22-1.66]	Illumina [559,348]	N
2014-03-13	23918589	Negi S	2013-12-01	Arthritis Rheum	http://www.ncbi.nlm.nih.gov/pubmed/23918589	A genome-wide association study reveals ARL15, a novel non-HLA susceptibility gene for rheumatoid arthritis in North Indians.	Rheumatoid arthritis	706 North Indian ancestry cases, 761 North Indian ancestry controls	927 North Indian ancestry cases, 1,148 North Indian ancestry controls	6p21.32	6	32702178	HLA-DQB1, HLA-DQA2, HLA-DQA1, C6orf10	TRNAI25			100189401			rs9275406-T	rs9275406	0	9275406		0	0.17	3E-12	11.52287875		2.10	[1.72-2.68]	Illumina [559,348]	N
2014-04-04	24449572	Orozco G	2013-09-24	Arthritis Rheumatol	http://www.ncbi.nlm.nih.gov/pubmed/24449572	Novel rheumatoid arthritis susceptibility locus at 22q12 identified in an extended UK genome-wide association study.	Rheumatoid arthritis	3,034 European ancestry cases, 5,271 European ancestry controls	4,726 European ancestry cases, 2,625 European ancestry controls	22q12.2	22	30285268	GATSL3	GATSL3			652968			rs1043099-?	rs1043099	0	1043099	UTR-3	0	0.79	7E-9	8.15490196		1.19	[1.12-1.27]	Affymetrix [1,831,729] (imputed)	N
2014-04-04	24449572	Orozco G	2013-09-24	Arthritis Rheumatol	http://www.ncbi.nlm.nih.gov/pubmed/24449572	Novel rheumatoid arthritis susceptibility locus at 22q12 identified in an extended UK genome-wide association study.	Rheumatoid arthritis	3,034 European ancestry cases, 5,271 European ancestry controls	4,726 European ancestry cases, 2,625 European ancestry controls	1p36.32	1	2622185	TNFRSF14	MMEL1			79258			rs3890745-?	rs3890745	0	3890745	intron	0	NR	1E-6	6		1.18	[1.1-1.27]	Affymetrix [1,831,729] (imputed)	N
2014-04-04	24449572	Orozco G	2013-09-24	Arthritis Rheumatol	http://www.ncbi.nlm.nih.gov/pubmed/24449572	Novel rheumatoid arthritis susceptibility locus at 22q12 identified in an extended UK genome-wide association study.	Rheumatoid arthritis	3,034 European ancestry cases, 5,271 European ancestry controls	4,726 European ancestry cases, 2,625 European ancestry controls	1p13.2	1	113834946	PTPN22	"PTPN22;LOC101928822"			"26191;101928822"			rs2476601-?	rs2476601	0	2476601	"missense;intron"	0	NR	5E-33	32.30103		1.77	[1.61-1.95]	Affymetrix [1,831,729] (imputed)	N
2014-04-04	24449572	Orozco G	2013-09-24	Arthritis Rheumatol	http://www.ncbi.nlm.nih.gov/pubmed/24449572	Novel rheumatoid arthritis susceptibility locus at 22q12 identified in an extended UK genome-wide association study.	Rheumatoid arthritis	3,034 European ancestry cases, 5,271 European ancestry controls	4,726 European ancestry cases, 2,625 European ancestry controls	4p15.2	4	26106575	RBPJ	SMIM20 - RBPJ	389203	3516		176.70	56.92	rs874040-?	rs874040	0	874040		1	NR	4E-7	6.397940009		1.19	[1.11-1.28]	Affymetrix [1,831,729] (imputed)	N
2014-04-04	24449572	Orozco G	2013-09-24	Arthritis Rheumatol	http://www.ncbi.nlm.nih.gov/pubmed/24449572	Novel rheumatoid arthritis susceptibility locus at 22q12 identified in an extended UK genome-wide association study.	Rheumatoid arthritis	3,034 European ancestry cases, 5,271 European ancestry controls	4,726 European ancestry cases, 2,625 European ancestry controls	6p21.32	6	32315077	HLA-DRB1	C6orf10			10665			rs6910071-?	rs6910071	0	6910071	intron	0	NR	2E-124	123.69897		2.30	[2.14-2.46]	Affymetrix [1,831,729] (imputed)	N
2014-04-04	24449572	Orozco G	2013-09-24	Arthritis Rheumatol	http://www.ncbi.nlm.nih.gov/pubmed/24449572	Novel rheumatoid arthritis susceptibility locus at 22q12 identified in an extended UK genome-wide association study.	Rheumatoid arthritis	3,034 European ancestry cases, 5,271 European ancestry controls	4,726 European ancestry cases, 2,625 European ancestry controls	6q23.3	6	137685367	TNFAIP3	BTF3L4P3 - TNFAIP3	391040	7128		140.92	181.82	rs6920220-?	rs6920220	0	6920220		1	NR	3E-8	7.522878745		1.23	[1.14-1.32]	Affymetrix [1,831,729] (imputed)	N
2014-04-04	24449572	Orozco G	2013-09-24	Arthritis Rheumatol	http://www.ncbi.nlm.nih.gov/pubmed/24449572	Novel rheumatoid arthritis susceptibility locus at 22q12 identified in an extended UK genome-wide association study.	Rheumatoid arthritis	3,034 European ancestry cases, 5,271 European ancestry controls	4,726 European ancestry cases, 2,625 European ancestry controls	10p15.1	10	6057082	IL2RA	IL2RA			3559			rs2104286-?	rs2104286	0	2104286	intron	0	NR	1E-6	6		1.19	[1.11-1.28]	Affymetrix [1,831,729] (imputed)	N
2014-04-04	24449572	Orozco G	2013-09-24	Arthritis Rheumatol	http://www.ncbi.nlm.nih.gov/pubmed/24449572	Novel rheumatoid arthritis susceptibility locus at 22q12 identified in an extended UK genome-wide association study.	Rheumatoid arthritis	3,034 European ancestry cases, 5,271 European ancestry controls	4,726 European ancestry cases, 2,625 European ancestry controls	12q13.3	12	57574932	KIF5A	KIF5A			3798			rs1678542-?	rs1678542	0	1678542	intron	0	NR	1E-7	7		1.20	[1.12-1.28]	Affymetrix [1,831,729] (imputed)	N
